id,domain,concept,definition_query,application_query,expected_answer
8564,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",yes
8565,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",no
8566,Common Nouns,chair,Define the concept of chair.,"Based on this definition, does the following satisfy it?",yes
8567,Common Nouns,chair,Define the concept of chair.,"Based on this definition, does the following satisfy it?",yes
8568,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
8569,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",yes
8570,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",yes
8571,Social & Ethical Concepts,responsibility,Define the concept of responsibility.,"Based on this definition, does the following satisfy it?",yes
8572,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
8573,Social & Ethical Concepts,responsibility,Define the concept of responsibility.,"Based on this definition, does the following satisfy it?",no
8574,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
8575,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",yes
8576,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",yes
8577,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",yes
8578,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",no
8579,Scientific Concepts,acid,Define the concept of acid.,"Based on this definition, does the following satisfy it?",yes
8580,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",yes
8581,Mathematics & Logic,relation,Define the concept of relation.,"Based on this definition, does the following satisfy it?",yes
8582,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",yes
8583,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",yes
8584,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",no
8585,Social & Ethical Concepts,responsibility,Define the concept of responsibility.,"Based on this definition, does the following satisfy it?",no
8586,Scientific Concepts,planet,Define the concept of planet.,"Based on this definition, does the following satisfy it?",no
8587,Scientific Concepts,force,Define the concept of force.,"Based on this definition, does the following satisfy it?",yes
8588,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",no
8589,Scientific Concepts,cell,Define the concept of cell.,"Based on this definition, does the following satisfy it?",yes
8590,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",no
8591,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",yes
8592,Common Nouns,chair,Define the concept of chair.,"Based on this definition, does the following satisfy it?",yes
8593,Common Nouns,chair,Define the concept of chair.,"Based on this definition, does the following satisfy it?",no
8594,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",no
8595,Common Nouns,vehicle,Define the concept of vehicle.,"Based on this definition, does the following satisfy it?",yes
8596,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",no
8597,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",yes
8598,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",no
8599,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",no
8600,Common Nouns,fruit,Define the concept of fruit.,"Based on this definition, does the following satisfy it?",no
8601,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
8602,Scientific Concepts,acid,Define the concept of acid.,"Based on this definition, does the following satisfy it?",yes
8603,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",no
8604,Scientific Concepts,enzyme,Define the concept of enzyme.,"Based on this definition, does the following satisfy it?",no
8605,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",no
8606,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",yes
8607,Mathematics & Logic,relation,Define the concept of relation.,"Based on this definition, does the following satisfy it?",no
8608,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",yes
8609,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",yes
8610,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",yes
8611,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",no
8612,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",no
8613,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",no
8614,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",no
8615,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",yes
8616,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",yes
8617,Common Nouns,fruit,Define the concept of fruit.,"Based on this definition, does the following satisfy it?",no
8618,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",yes
8619,Scientific Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
8620,Scientific Concepts,acid,Define the concept of acid.,"Based on this definition, does the following satisfy it?",yes
8621,Social & Ethical Concepts,responsibility,Define the concept of responsibility.,"Based on this definition, does the following satisfy it?",yes
8622,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",no
8623,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",yes
8624,Common Nouns,device,Define the concept of device.,"Based on this definition, does the following satisfy it?",yes
8625,Scientific Concepts,force,Define the concept of force.,"Based on this definition, does the following satisfy it?",yes
8626,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",no
8627,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",no
8628,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",no
8629,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",no
8630,Common Nouns,fruit,Define the concept of fruit.,"Based on this definition, does the following satisfy it?",no
8631,Common Nouns,device,Define the concept of device.,"Based on this definition, does the following satisfy it?",no
8632,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",no
8633,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
8634,Scientific Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
8635,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",no
8636,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
8637,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",yes
8638,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",no
8639,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",no
8640,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",yes
8641,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",no
8642,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",yes
8643,Scientific Concepts,acid,Define the concept of acid.,"Based on this definition, does the following satisfy it?",yes
8644,Common Nouns,tool,Define the concept of tool.,"Based on this definition, does the following satisfy it?",no
8645,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",no
8646,Common Nouns,device,Define the concept of device.,"Based on this definition, does the following satisfy it?",no
8647,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",yes
8648,Scientific Concepts,force,Define the concept of force.,"Based on this definition, does the following satisfy it?",no
8649,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",yes
8650,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",yes
8651,Scientific Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
8652,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
8653,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",no
8654,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",yes
8655,Scientific Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
8656,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",yes
8657,Scientific Concepts,enzyme,Define the concept of enzyme.,"Based on this definition, does the following satisfy it?",no
8658,Scientific Concepts,force,Define the concept of force.,"Based on this definition, does the following satisfy it?",no
8659,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",no
8660,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",no
8661,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",no
8662,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
8663,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",no
8664,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",no
8665,Scientific Concepts,force,Define the concept of force.,"Based on this definition, does the following satisfy it?",yes
8666,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
8667,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",yes
8668,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",yes
8669,Scientific Concepts,enzyme,Define the concept of enzyme.,"Based on this definition, does the following satisfy it?",no
8670,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
8671,Scientific Concepts,force,Define the concept of force.,"Based on this definition, does the following satisfy it?",yes
8672,Mathematics & Logic,relation,Define the concept of relation.,"Based on this definition, does the following satisfy it?",yes
8673,Mathematics & Logic,relation,Define the concept of relation.,"Based on this definition, does the following satisfy it?",yes
8674,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",yes
8675,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",yes
8676,Scientific Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
8677,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
8678,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",no
8679,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",no
8680,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",no
8681,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",yes
8682,Social & Ethical Concepts,responsibility,Define the concept of responsibility.,"Based on this definition, does the following satisfy it?",yes
8683,Scientific Concepts,cell,Define the concept of cell.,"Based on this definition, does the following satisfy it?",yes
8684,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",no
8685,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",yes
8686,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",yes
8687,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",yes
8688,Common Nouns,fruit,Define the concept of fruit.,"Based on this definition, does the following satisfy it?",yes
8689,Scientific Concepts,enzyme,Define the concept of enzyme.,"Based on this definition, does the following satisfy it?",no
8690,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",no
8691,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",yes
8692,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
8693,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",yes
8694,Scientific Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
8695,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",yes
8696,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",yes
8697,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",no
8698,Scientific Concepts,enzyme,Define the concept of enzyme.,"Based on this definition, does the following satisfy it?",yes
8699,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",no
8700,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
8701,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",yes
8702,Scientific Concepts,planet,Define the concept of planet.,"Based on this definition, does the following satisfy it?",no
8703,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",yes
8704,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",no
8705,Scientific Concepts,planet,Define the concept of planet.,"Based on this definition, does the following satisfy it?",no
8706,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",yes
8707,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",yes
8708,Common Nouns,fruit,Define the concept of fruit.,"Based on this definition, does the following satisfy it?",yes
8709,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",no
8710,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",yes
8711,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",no
8712,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",no
8713,Scientific Concepts,cell,Define the concept of cell.,"Based on this definition, does the following satisfy it?",no
8714,Scientific Concepts,force,Define the concept of force.,"Based on this definition, does the following satisfy it?",no
8715,Social & Ethical Concepts,responsibility,Define the concept of responsibility.,"Based on this definition, does the following satisfy it?",no
8716,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",yes
8717,Common Nouns,tool,Define the concept of tool.,"Based on this definition, does the following satisfy it?",yes
8718,Common Nouns,chair,Define the concept of chair.,"Based on this definition, does the following satisfy it?",no
8719,Scientific Concepts,cell,Define the concept of cell.,"Based on this definition, does the following satisfy it?",yes
8720,Scientific Concepts,cell,Define the concept of cell.,"Based on this definition, does the following satisfy it?",yes
8721,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",yes
8722,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",yes
8723,Common Nouns,tool,Define the concept of tool.,"Based on this definition, does the following satisfy it?",yes
8724,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",yes
8725,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",yes
8726,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",yes
8727,Common Nouns,tool,Define the concept of tool.,"Based on this definition, does the following satisfy it?",no
8728,Common Nouns,fruit,Define the concept of fruit.,"Based on this definition, does the following satisfy it?",yes
8729,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",no
8730,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",yes
8731,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",no
8732,Common Nouns,tool,Define the concept of tool.,"Based on this definition, does the following satisfy it?",yes
8733,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",no
8734,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",no
8735,Scientific Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
8736,Scientific Concepts,acid,Define the concept of acid.,"Based on this definition, does the following satisfy it?",yes
8737,Common Nouns,device,Define the concept of device.,"Based on this definition, does the following satisfy it?",yes
8738,Mathematics & Logic,relation,Define the concept of relation.,"Based on this definition, does the following satisfy it?",no
8739,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",no
8740,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",no
8741,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
8742,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",no
8743,Common Nouns,chair,Define the concept of chair.,"Based on this definition, does the following satisfy it?",yes
8744,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",yes
8745,Common Nouns,fruit,Define the concept of fruit.,"Based on this definition, does the following satisfy it?",no
8746,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",yes
8747,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",yes
8748,Mathematics & Logic,relation,Define the concept of relation.,"Based on this definition, does the following satisfy it?",no
8749,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
8750,Common Nouns,chair,Define the concept of chair.,"Based on this definition, does the following satisfy it?",no
8751,Common Nouns,tool,Define the concept of tool.,"Based on this definition, does the following satisfy it?",yes
8752,Scientific Concepts,planet,Define the concept of planet.,"Based on this definition, does the following satisfy it?",no
8753,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
8754,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",no
8755,Common Nouns,device,Define the concept of device.,"Based on this definition, does the following satisfy it?",no
8756,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",no
8757,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",yes
8758,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",yes
8759,Scientific Concepts,enzyme,Define the concept of enzyme.,"Based on this definition, does the following satisfy it?",no
8760,Social & Ethical Concepts,responsibility,Define the concept of responsibility.,"Based on this definition, does the following satisfy it?",yes
8761,Common Nouns,device,Define the concept of device.,"Based on this definition, does the following satisfy it?",no
8762,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",no
8763,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",yes
8764,Scientific Concepts,cell,Define the concept of cell.,"Based on this definition, does the following satisfy it?",yes
8765,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",yes
8766,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",yes
8767,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",yes
8768,Social & Ethical Concepts,responsibility,Define the concept of responsibility.,"Based on this definition, does the following satisfy it?",yes
8769,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",yes
8770,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
8771,Scientific Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
8772,Mathematics & Logic,relation,Define the concept of relation.,"Based on this definition, does the following satisfy it?",no
8773,Scientific Concepts,cell,Define the concept of cell.,"Based on this definition, does the following satisfy it?",no
8774,Common Nouns,vehicle,Define the concept of vehicle.,"Based on this definition, does the following satisfy it?",no
8775,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",yes
8776,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",no
8777,Mathematics & Logic,relation,Define the concept of relation.,"Based on this definition, does the following satisfy it?",yes
8778,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",yes
8779,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",no
8780,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",yes
8781,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",no
8782,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",no
8783,Common Nouns,vehicle,Define the concept of vehicle.,"Based on this definition, does the following satisfy it?",no
8784,Social & Ethical Concepts,responsibility,Define the concept of responsibility.,"Based on this definition, does the following satisfy it?",no
8785,Scientific Concepts,cell,Define the concept of cell.,"Based on this definition, does the following satisfy it?",no
8786,Common Nouns,fruit,Define the concept of fruit.,"Based on this definition, does the following satisfy it?",yes
8787,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
8788,Scientific Concepts,cell,Define the concept of cell.,"Based on this definition, does the following satisfy it?",no
8789,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",yes
8790,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
8791,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",yes
8792,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
8793,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",no
8794,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",no
8795,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
8796,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",no
8797,Scientific Concepts,cell,Define the concept of cell.,"Based on this definition, does the following satisfy it?",yes
8798,Scientific Concepts,enzyme,Define the concept of enzyme.,"Based on this definition, does the following satisfy it?",no
8799,Scientific Concepts,acid,Define the concept of acid.,"Based on this definition, does the following satisfy it?",no
8800,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",no
8801,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",yes
8802,Social & Ethical Concepts,responsibility,Define the concept of responsibility.,"Based on this definition, does the following satisfy it?",no
8803,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",no
8804,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",yes
8805,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",yes
8806,Scientific Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
8807,Common Nouns,vehicle,Define the concept of vehicle.,"Based on this definition, does the following satisfy it?",yes
8808,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",no
8809,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",no
8810,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",no
8811,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
8812,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
8813,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",yes
8814,Scientific Concepts,enzyme,Define the concept of enzyme.,"Based on this definition, does the following satisfy it?",yes
8815,Scientific Concepts,cell,Define the concept of cell.,"Based on this definition, does the following satisfy it?",yes
8816,Scientific Concepts,planet,Define the concept of planet.,"Based on this definition, does the following satisfy it?",yes
8817,Common Nouns,tool,Define the concept of tool.,"Based on this definition, does the following satisfy it?",no
8818,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",yes
8819,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
8820,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",yes
8821,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",yes
8822,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",no
8823,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",no
8824,Common Nouns,fruit,Define the concept of fruit.,"Based on this definition, does the following satisfy it?",yes
8825,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",no
8826,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",no
8827,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",yes
8828,Scientific Concepts,enzyme,Define the concept of enzyme.,"Based on this definition, does the following satisfy it?",yes
8829,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",yes
8830,Scientific Concepts,planet,Define the concept of planet.,"Based on this definition, does the following satisfy it?",yes
8831,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
8832,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",yes
8833,Scientific Concepts,acid,Define the concept of acid.,"Based on this definition, does the following satisfy it?",no
8834,Common Nouns,device,Define the concept of device.,"Based on this definition, does the following satisfy it?",no
8835,Common Nouns,fruit,Define the concept of fruit.,"Based on this definition, does the following satisfy it?",yes
8836,Mathematics & Logic,relation,Define the concept of relation.,"Based on this definition, does the following satisfy it?",no
8837,Common Nouns,tool,Define the concept of tool.,"Based on this definition, does the following satisfy it?",yes
8838,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
8839,Scientific Concepts,acid,Define the concept of acid.,"Based on this definition, does the following satisfy it?",no
8840,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",no
8841,Scientific Concepts,acid,Define the concept of acid.,"Based on this definition, does the following satisfy it?",no
8842,Mathematics & Logic,relation,Define the concept of relation.,"Based on this definition, does the following satisfy it?",no
8843,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",yes
8844,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",no
8845,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",no
8846,Common Nouns,fruit,Define the concept of fruit.,"Based on this definition, does the following satisfy it?",no
8847,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
8848,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",yes
8849,Common Nouns,chair,Define the concept of chair.,"Based on this definition, does the following satisfy it?",yes
8850,Scientific Concepts,planet,Define the concept of planet.,"Based on this definition, does the following satisfy it?",yes
8851,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",yes
8852,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",yes
8853,Scientific Concepts,enzyme,Define the concept of enzyme.,"Based on this definition, does the following satisfy it?",yes
8854,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",yes
8855,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",yes
8856,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",no
8857,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",yes
8858,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",no
8859,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
8860,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",yes
